연번	어휘		
663	배03		
664	배구		
665	배낭		
666	배달		
667	배달하다		
668	배우		
669	배우다		
670	배추		
671	배탈		
672	백화점		
673	버리다		
674	버스		
675	번		
676	번개		
677	번째		
678	번호		
679	벌		
680	벌다		
681	벌레		
682	벌써		
683	법		
684	벗다		
685	베트남		
686	벽		
687	변비		
688	변하다		
689	변호사		
690	별		
691	별로		
692	별명		
693	병		
694	병(물병)		
695	병문안		
696	병원		
697	보고서		
698	보관하다		
699	보내다		
700	보다		
701	보라색		
702	보여주다		
703	보통		
704	복도		
705	복사하다		
706	복숭아		
707	복잡하다		
708	볶다		
709	볶음밥		
710	볼일		
711	볼펜		
712	봄		
713	봉지		
714	봉투		
715	뵙다		
716	부끄럽다		
717	부동산		
718	부드럽다		
719	부딪치다		
720	부러지다		
721	부르다		
722	부모(부모님)		
723	부부		
724	부엌		
725	부인		
726	부자		
727	부족하다		
728	부지런하다		
729	부채		
730	부치다		
731	부탁하다		
732	북		
733	북쪽		
734	분(사람)		
735	분(시간)		
736	분위기		
737	분홍색		
738	불		
739	불고기		
740	불교		
741	불다		
742	불쌍하다		
743	불안하다		
744	불편하다		
745	붙다		
746	블라우스		
747	비		
748	비교하다		
749	비누		
750	비다		
751	비밀		
752	비밀번호		
753	비빔밤		
754	비서		
755	비슷하다		
756	비싸다		
757	비자		
758	비행기		
759	빌다		
760	빌딩		
761	빌려주다		
762	빌리다		
763	빗다		
764	빠르다		
765	빨간색		
766	빨갛다		
767	빨다		
768	빨래		
769	빨래하다		
770	빨리		
771	빵		
772	빵집		
773	사거리		
774	사건		
775	사계절		
776	사고		
777	사과		
778	사과하다		
779	사귀다		
780	사다		
781	사람		
782	사랑		
783	사랑하다		
784	사모님		
785	사무실		
786	사업가		
787	사용하다		
788	사이		
789	사이다		
790	사이즈		
791	사이트		
792	사인하다		
793	사자		
794	사장		
795	사전		
796	사진		
797	사진기		
798	사촌		
799	사탕		
800	사회		
801	사흘		
802	산		
803	산책하다		
804	살		
805	살 1		
806	살다		
807	삶다		
808	삼거리		
809	삼겹살		
810	삼계탕		
811	삼촌		
812	상(1등)		
813	상가		
814	상상하다		
815	상영하다		
816	상자		
817	상점		
818	상쾌하다		
819	상품		
820	상하다		
821	새(동물)		
822	새(새것)		
823	새로		
824	새롭다		
825	새벽		
826	색		
827	색깔		
828	샌드위치		
829	샐러드		
830	생각		
831	생각나다		
832	생각하다		
833	생년월일		
834	생선		
835	생선회		
836	생신		
837	생일		
838	생활		
839	생활비		
840	샤워하다		
841	샴푸		
842	서다		
843	서랍		
844	서로		
845	서류		
846	서비스		
847	서양		
848	서점		
849	서쪽		
850	선		
851	선물		
852	선물하다		
853	선배		
854	선생님		
855	선수		
856	선택하다		
857	선풍기		
858	설거지		
859	설거지하다		
860	설날		
861	설렁탕		
862	설명하다		
863	설탕		
864	섭섭하다		
865	성격		
866	성공		
867	성공하다		
868	성명		
869	성별		
870	성적		
871	성함		
872	세계		
873	세다(힘)		
874	세로		
875	세배		
876	세뱃돈		
877	세수		
878	세수하다		
879	세우다		
880	세월		
881	세일하다		
882	세제		
883	세탁		
884	세탁기		
885	세탁소		
886	센터		
887	센티미터		
888	셔츠		
889	소		
890	소개		
891	소개하다		
892	소고기		
893	소금		
894	소나기		
895	소리		
896	소방관		
897	소방서		
898	소설		
899	소설가		
900	소설책		
901	소식		
902	소아과		
903	소주		
904	소파		
905	소포		
906	소풍		
907	소화제		
908	속		
909	속도		
910	속옷		
911	손		
912	손가락		
913	손님		
914	손수건		
915	손자		
916	송이		
917	쇠고기		
918	쇼핑하다		
919	수건		
920	수고하다		
921	수도(서울)		
922	수돗물		
923	수리하다		
924	수박		
925	수수료		
926	수술하다		
927	수업		
928	수영		
929	수영복		
930	수영장		
931	수영하다		
932	수요일		
933	수입		
934	수저		
935	수첩		
936	수표		
937	숙소		
938	숙제		
939	순서		
940	숟가락		
941	술		
942	술집		
943	숨다		
944	숫자		
945	숲		
946	쉬다		
947	쉬다(숨)		
948	쉽다		
949	슈퍼마켓		
950	스스로		
951	스웨터		
952	스카프		
953	스케이트		
954	스키		
955	스키장		
956	스트레스		
957	스포츠		
958	슬퍼하다		
959	슬프다		
960	습관		
961	시(시간)		
962	시각		
963	시간		
964	시간표		
965	시계		
966	시골		
967	시끄럽다		
968	시내		
969	시다		
970	시민		
971	시설		
972	시아버지		
973	시어머니		
974	시외		
975	시원하다		
976	시작		
977	시작하다		
978	시장		
979	시집가다		
980	시청		
981	시키다		
982	시합		
983	시험		
984	식구		
985	식다		
986	식당		
987	식료품		
988	식사		
989	식탁		
990	식후		
991	신나다		
992	신다		
993	신문		
994	신문사		
995	신발		
996	신발장		
997	신분증		
998	신선하다		
999	신용카드		
1000	신청서		
1001	신청하다		
1002	신호등		
1003	신혼		
1004	신혼여행		
1005	실내		
1006	실력		
1007	실례하다		
1008	실수		
1009	실수하다		
1010	싫다		
1011	싫어하다		
1012	심다		
1013	심심하다		
1014	심하다		
1015	싱겁다		
1016	싱싱하다		
1017	싸다(저렴하다)		
1018	싸다(포장)		
1019	싸우다		
1020	싸움		
1021	쌀		
1022	쌀쌀하다		
1023	쓰기		
1024	쓰다01		
1025	쓰다02		
1026	쓰다03		
1027	쓰레기		
1028	씨(Mr.)		
1029	씻다		
1030	아(감탄사)		
1031	아가씨		
1032	아기		
1033	아까		
1034	아깝다		
1035	아내		
1036	아니		
1037	아니다		
1038	아니요		
1039	아들		
1040	아래		
1041	아르바이트		
1042	아름답다		
1043	아마		
1044	아무		
1045	아버지		
1046	아빠		
1047	아시아		
1048	아이(애)		
1049	아이스크림		
1050	아저씨		
1051	아주		
1052	아주머니(아줌마)		
1053	아직		
1054	아침		
1055	아파트		
1056	아프다		
1057	아프리카		
1058	악기		
1059	악수하다		
1060	안		
1061	안(장소)		
1062	안개		
1063	안경		
1064	안과		
1065	안내		
1066	안내하다		
1067	안녕하다		
1068	안녕히		
1069	안색		
1070	안전하다		
1071	앉다		
1072	알다		
1073	알리다		
1074	알맞다		
1075	알아듣다		
1076	알아보다		
1077	앞		
1078	애인		
1079	액세서리		
1080	액션영화		
1081	야		
1082	야구		
1083	약		
1084	약(먹는)		
1085	약국		
1086	약사		
1087	약속		
1088	약하다		
1089	얇다		
1090	양		
1091	양말		
1092	양보하다		
1093	양복		
1094	양산		
1095	양식		
1096	양파		
1097	얕다		
1098	어깨		
1099	어느		
1100	어둡다		
1101	어디		
1102	어떠하다		
1103	어떻게		
1104	어떻다		
1105	어렵다		
1106	어른		
1107	어리다		
1108	어린이		
1109	어머		
1110	어머니		
1111	어서		
1112	어울리다		
1113	어제		
1114	억		
1115	언니		
1116	언어		
1117	언제		
1118	언제나		
1119	언제든지		
1120	얼굴		
1121	얼른 		
1122	얼마		
1123	얼마나		
1124	얼음		
1125	엄마		
1126	없다		
1127	에어컨		
1128	엘리베이터		
1129	여권		
1130	여기		
1131	여기저기		
1132	여덟		
1133	여동생		
1134	여러		
1135	여러분		
1136	여름		
1137	여보		
1138	여자		
1139	여쭈다/여쭙다		
1140	여학생		
1141	여행		
1142	여행사		
1143	여행하다		
1144	역		
1145	역사		
1146	역시		
1147	역할		
1148	연결하다		
1149	연극		
1150	연기		
1151	연락		
1152	연락처		
1153	연락하다		
1154	연세		
1155	연습		
1156	연습하다		
1157	연예인		
1158	연주회		
1159	연필		
1160	연하장		
1161	열(열이 나다)		
1162	열다		
1163	열쇠		
1164	열심히		
1165	열차		
1166	엽서		
1167	영국		
1168	영상		
1169	영하		
1170	영화		
1171	영화관		
1172	영화배우		
1173	옆		
1174	예		
1175	예쁘다		
1176	예약		
1177	예약하다		
1178	예절		
1179	예정		
1180	옛날		
1181	오늘		
1182	오다		
1183	오래		
1184	오래되다		
1185	오랜만		
1186	오랫동안		
1187	오렌지		
1188	오른쪽		
1189	오리		
1190	오빠		
1191	오이		
1192	오전		
1193	오징어		
1194	오후		
1195	온도계		
1196	온통		
1197	올라가다		
1198	올라오다		
1199	올림		
1200	올해		
1201	옮기다		
1202	옷		
1203	옷장		
1204	와(감탄사)		
1205	와이셔츠		
1206	와인		
1207	완성하다		
1208	완전		
1209	왕		
1210	왕복		
1211	왕비		
1212	왜냐하면		
1213	외국		
1214	외국어		
1215	외국인		
1216	외롭다		
1217	외삼촌		
1218	외숙모		
1219	외식하다		
1220	외출		
1221	외출하다		
1222	외할머니		
1223	외할아버지		
1224	왼쪽		
1225	요금		
1226	요리		
1227	요리법		
1228	요리사		
1229	요리책		
1230	요리하다		
1231	요일		
1232	요즘		
1233	욕심		
1234	용돈		
1235	우리		
1236	우리나라		
1237	우산		
1238	우선		
1239	우습다		
1240	우유		
1241	우체국		
1242	우표		
1243	운동		
1244	운동복		
1245	운동선수		
1246	운동장		
1247	운동하다		
1248	운동화		
1249	운전기사		
1250	운전하다		
1251	울다		
1252	움직이다		
1253	웃다		
1254	웃어른		
1255	원(won)		
1256	원피스		
1257	원하다		
1258	월		
1259	월급		
1260	월세		
1261	월요일		
1262	위(position)		
1263	위(장기)		
1264	위치		
1265	위하다		
1266	위험하다		
1267	유럽		
1268	유리		
1269	유명하다		
1270	유학		
1271	유학생		
1272	유행		
1273	유행가		
1274	유행하다		
1275	은행		
1276	은행원		
1277	음력		
1278	음료수		
1279	음식		
1280	음식물		
1281	음악		
1282	음악가		
1283	음악회		
1284	응		
1285	의견		
1286	의논하다		
1287	의미		
1288	의사		
1289	의자		
1290	이 (대명사)		
1291	이(이빨)		
1292	이기다		
1293	이따가		
1294	이렇게		
1295	이렇다		
1296	이름		
1297	이마		
1298	이메일		
1299	이모		
1300	이모부		
1301	이미		
1302	이발소		
1303	이비인후과		
1304	이사		
1305	이사하다		
1306	이상		
1307	이상하다		
1308	이야기		
1309	이야기하다		
1310	이용하다		
1311	이유		
1312	이제		
1313	이틀		
1314	이해하다		
1315	이후		
1316	익숙하다		
1317	인구		
1318	인기		
1319	인사		
1320	인사하다		
